wordlist,countlist,maxlike,totallike,avelike
eemweddings,4,6,11,2
dmvweddingcoordinator,4,6,11,2
dmvweddingplanner,4,6,11,2
baltimore,4,109,325,81
stellaat30,3,6,6,2
sexinthecity,3,6,6,2
chesapeakebay,3,23,58,19
catfish,3,23,58,19
fishing,3,23,58,19
tattoos,3,109,299,99
blackandwhite,3,109,299,99
girlswithink,3,109,299,99
girlswithtattoos,3,109,299,99
ink,3,109,299,99
inkedgirls,3,109,299,99
inklife,3,109,299,99
inkedwomen,3,109,299,99
inked,3,109,299,99
chickswithink,3,109,299,99
bodyart,3,109,299,99
tattedup,3,109,299,99
mrsellemadison,3,109,299,99
tatts,3,109,299,99
chickswithtattoos,3,109,299,99
momswithtattoos,3,109,299,99
love,3,26,53,17
grind,2,27,41,20
workflow,2,27,41,20
got,2,24,41,20
gameofthrones,2,24,41,20
