wordlist,countlist,maxlike,totallike,avelike
neworleans,8,49,217,27
love,4,66,147,36
wedding,3,32,81,27
oncloudclark,3,32,81,27
sunset,3,49,120,40
beautiful,2,32,43,21
destinationwedding,2,29,49,24
photographer,2,74,103,51
professional,2,31,60,30
rheawhitneyphotography,2,29,49,24
catsofinstagram,2,10,13,6
teamjesus🙌🏾,2,14,16,8
wednesdaynightracing,2,42,71,35
sailing,2,49,78,39
beads,1,1,1,1
twinducket,1,1,1,1
laila,1,1,1,1
mychild,1,1,1,1
twin,1,1,1,1
myheart,1,1,1,1
gap,1,1,1,1
dshoplivin,1,26,26,26
welive4sunday,1,26,26,26
buildings,1,11,11,11
proud,1,11,11,11
art,1,11,11,11
sheraton,1,11,11,11
sky,1,11,11,11
photography,1,11,11,11
whodat,1,11,11,11
