wordlist,countlist,maxlike,totallike,avelike
detroit,17,47,207,12
relationships,13,15,112,8
worldwide,13,15,112,8
tagafriend,13,15,112,8
eblockradio,13,15,112,8
florida,13,15,112,8
gifts,13,15,112,8
tag,13,15,112,8
hottopics,13,15,112,8
radiopersonality,13,15,112,8
internetradio,13,15,112,8
radioshowhost,13,15,112,8
thesocialnetwork,9,5,21,2
viceteam,8,5,18,2
yachtclubfamilia,7,5,17,2
socialnetwork,7,5,17,2
levelup,7,5,17,2
teamsog,4,3,10,2
tbt,2,47,57,28
great,2,30,40,20
pizzasisters4lyfe,2,9,17,8
nbcagt,2,3,5,2
selectedofgod,2,3,5,2
funnytumblr,2,158,222,111
oktweet,2,158,222,111
hoeposts,2,158,222,111
tumblr,2,158,222,111
sexualising,2,158,222,111
funnytextpost,2,158,222,111
perfectsayings,2,158,222,111
